20240801 084500;19525.75;19537;19525.25;19531.75;845
20240801 084600;19531.75;19533.5;19516.5;19516.5;793
20240801 084700;19516.75;19525.75;19516;19520;552
20240801 084800;19520.75;19529.75;19517.75;19527;403
20240801 084900;19527;19534.25;19527;19531.5;359
20240801 085000;19532;19537.75;19530;19532.75;543
20240801 085100;19532.5;19544.25;19531.5;19539;931
20240801 085200;19538.75;19543.5;19526.5;19534.75;975
20240801 085300;19535.5;19539.5;19527.5;19528.75;643
20240801 085400;19529;19530;19520;19527;764
20240801 085500;19527.5;19529.5;19522.5;19526.25;318
20240801 085600;19526.5;19527;19512;19517.75;760
20240801 085700;19517;19523;19515.5;19515.75;502
20240801 085800;19515.25;19528.5;19515;19528.25;407
20240801 085900;19528.5;19532;19525.75;19530;271
20240801 090000;19530.25;19530.25;19523.75;19524;397
20240801 090100;19524.25;19527.25;19516;19527.25;605
20240801 090200;19527.75;19534;19526.5;19528;481
20240801 090300;19528;19531.25;19519;19531;528
20240801 090400;19530.25;19540.5;19529.25;19539;786
20240801 090500;19538.5;19547;19536.25;19545.25;565
20240801 090600;19546.25;19553;19545.5;19550.75;821
20240801 090700;19551.5;19553.75;19547;19547.25;539
20240801 090800;19547;19553;19537.5;19538;678
20240801 090900;19538;19549;19538;19544.5;473
20240801 091000;19545;19554.5;19544.5;19554.5;475
20240801 091100;19553.5;19556;19550.25;19555;532
20240801 091200;19555;19560.75;19549.25;19558.5;846
20240801 091300;19558.25;19574.5;19556.75;19571.75;1494
20240801 091400;19571;19572;19564;19571.25;845
20240801 091500;19570.5;19577.75;19569.5;19577;605
20240801 091600;19577.75;19581;19571.75;19580;1050
20240801 091700;19579.75;19582.5;19573.5;19573.5;700
20240801 091800;19574.25;19578.25;19570.5;19570.75;432
20240801 091900;19571;19573.5;19563.5;19566;650
20240801 092000;19565.75;19578.5;19565.75;19577.5;413
20240801 092100;19577.75;19582.5;19576.75;19577.25;509
20240801 092200;19577;19577.25;19566;19567;509
20240801 092300;19567.25;19567.5;19562.25;19566.5;574
20240801 092400;19566.25;19568.5;19563.25;19566.5;254
20240801 092500;19566.75;19573.75;19563;19572.75;439
20240801 092600;19573;19573.5;19552.75;19553.25;725
20240801 092700;19554;19559.75;19552.25;19559.5;453
20240801 092800;19559.75;19560;19552.75;19555.75;234
20240801 092900;19556.25;19565;19556.25;19558.25;548
20240801 093000;19558.25;19560.25;19555.5;19557.75;256
20240801 093100;19557;19557;19550.25;19554.5;440
20240801 093200;19555;19569.75;19552.5;19567.75;565
20240801 093300;19567.25;19577.25;19562.75;19576;688
20240801 093400;19576;19576.75;19571;19572.75;289
20240801 093500;19572;19572.75;19569.25;19570.25;232
20240801 093600;19570.25;19579.5;19569;19577.75;451
20240801 093700;19577.5;19580;19574.75;19579.5;288
20240801 093800;19579.25;19582;19575.75;19582;406
20240801 093900;19581.25;19591.25;19580;19588.75;1072
20240801 094000;19588.5;19592.25;19584.5;19591;583
20240801 094100;19590.75;19592.25;19585;19586;414
20240801 094200;19586.75;19592.25;19586;19588.25;353
20240801 094300;19588.5;19591;19586.75;19589.75;269
20240801 094400;19589.5;19592.5;19586.75;19589;309
20240801 094500;19588.25;19595.75;19587.75;19594;401
20240801 094600;19593.5;19595.5;19589.25;19593.75;420
20240801 094700;19594.5;19595;19588.75;19591.25;224
20240801 094800;19591;19593.75;19588;19593.5;271
20240801 094900;19594;19597.75;19589.75;19589.75;414
20240801 095000;19589.75;19596.75;19585.5;19596;431
20240801 095100;19595.75;19596.75;19593.5;19595.75;198
20240801 095200;19596.75;19599;19594.5;19597.5;288
20240801 095300;19597.25;19599.25;19595;19596.25;253
20240801 095400;19595.75;19599.5;19595.25;19597.25;271
20240801 095500;19598;19602;19594;19601.75;491
20240801 095600;19601.25;19601.25;19587.75;19589.5;624
20240801 095700;19589.5;19592.75;19588.75;19590.25;262
20240801 095800;19590.5;19592.75;19586.75;19589.25;294
20240801 095900;19590;19590.25;19586.25;19586.75;217
20240801 100000;19586.75;19589.75;19585.5;19588.75;202
20240801 100100;19589.25;19600;19583;19596.75;730
20240801 100200;19597.25;19606;19596.25;19601.25;660
20240801 100300;19601.25;19603.75;19599;19601.5;301
20240801 100400;19602;19602.75;19588.5;19595.25;561
20240801 100500;19595.25;19597;19592.5;19594.5;295
20240801 100600;19594.5;19595.25;19586.25;19587;384
20240801 100700;19587;19588.5;19582.25;19583.75;387
20240801 100800;19583.25;19593;19582.5;19593;552
20240801 100900;19593;19595.5;19590.5;19595;261
20240801 101000;19595;19597;19592;19592.75;296
20240801 101100;19593;19593.25;19582;19585.5;422
20240801 101200;19585;19586.5;19578.25;19586.25;429
20240801 101300;19586.25;19593.25;19586;19587.5;367
20240801 101400;19588.25;19589.5;19579.25;19583.75;401
20240801 101500;19584;19586;19578.75;19579.5;317
20240801 101600;19580;19589;19578;19586.75;400
20240801 101700;19586;19587.5;19582.75;19584.5;228
20240801 101800;19584.25;19586.5;19582.25;19584;202
20240801 101900;19583.5;19587;19582.25;19587;286
20240801 102000;19587;19591.25;19585.25;19589;370
20240801 102100;19589;19589.5;19586.25;19587.75;286
20240801 102200;19588;19588.25;19582.75;19584.75;293
20240801 102300;19584.5;19590.75;19584;19590.25;247
20240801 102400;19590.75;19592;19583.75;19584.25;351
20240801 102500;19584.5;19584.5;19581;19583.5;231
20240801 102600;19583.5;19585.5;19580.5;19581.25;200
20240801 102700;19581.5;19590.5;19580.25;19590.5;225
20240801 102800;19589.75;19597.25;19589.5;19592.75;431
20240801 102900;19593;19600;19593;19598.75;342
20240801 103000;19599;19600;19595.25;19599;251
20240801 103100;19599.5;19600.75;19590.75;19591.25;434
20240801 103200;19591.25;19591.25;19581;19584.5;609
20240801 103300;19585.25;19585.25;19583;19584;214
20240801 103400;19583.5;19590.25;19575;19575.75;775
20240801 103500;19575.25;19580;19574.25;19577;564
20240801 103600;19577;19579.5;19571.75;19571.75;392
20240801 103700;19572;19576.75;19570.75;19572.5;547
20240801 103800;19572.5;19573.75;19558.5;19561.5;1234
20240801 103900;19561.75;19576;19561.25;19572.5;736
20240801 104000;19573;19574;19567.25;19573;629
20240801 104100;19573.5;19577.25;19560.75;19560.75;788
20240801 104200;19561;19569.25;19561;19569.25;435
20240801 104300;19568.5;19573;19564.75;19571;514
20240801 104400;19571;19575.5;19569.75;19575.25;254
20240801 104500;19575;19583.75;19572.25;19580.75;565
20240801 104600;19581.5;19582.75;19575.25;19577.75;437
20240801 104700;19577.5;19585;19577.25;19583.25;375
20240801 104800;19583.25;19584.25;19580;19580.75;284
20240801 104900;19581.25;19589.75;19581.25;19586;567
20240801 105000;19586.5;19591.5;19586.25;19590.5;399
20240801 105100;19589.5;19593.75;19589.5;19592.75;327
20240801 105200;19592.75;19594.75;19590;19591.75;335
20240801 105300;19592.25;19592.75;19582.75;19587.75;490
20240801 105400;19586.75;19590;19586.25;19588.5;343
20240801 105500;19588.5;19589.5;19586.25;19587.25;194
20240801 105600;19587.75;19596;19586.25;19589;576
20240801 105700;19589;19589.75;19585;19585;258
20240801 105800;19584.25;19585.75;19577.75;19585.25;564
20240801 105900;19585.5;19586.75;19582;19585.5;343
20240801 110000;19585.5;19594;19584.25;19592;369
20240801 110100;19592;19599.75;19586;19597.5;1098
20240801 110200;19597.75;19603;19592.25;19601;1057
20240801 110300;19600.75;19609.25;19596.75;19608;959
20240801 110400;19608;19608;19601.5;19606.25;681
20240801 110500;19606.25;19608.25;19601.75;19606;641
20240801 110600;19605.75;19608;19603.75;19607.5;435
20240801 110700;19607.75;19609.25;19603.5;19605.75;573
20240801 110800;19606.5;19616.5;19606;19614.75;1263
20240801 110900;19614;19616.5;19611.25;19611.5;749
20240801 111000;19611.5;19612.5;19608.5;19609;386
20240801 111100;19609.25;19613.5;19606.75;19607;472
20240801 111200;19608;19608;19601.25;19607.5;580
20240801 111300;19607.5;19610.25;19607;19608.5;321
20240801 111400;19608.75;19610.25;19604.25;19609.25;646
20240801 111500;19609.25;19618.5;19607.75;19614.75;707
20240801 111600;19615.25;19621.5;19614;19617.5;791
20240801 111700;19617;19620;19613.25;19617;444
20240801 111800;19617;19623.75;19617;19622.75;680
20240801 111900;19623;19625;19621.5;19623.5;614
20240801 112000;19623.75;19624.25;19618;19622;430
20240801 112100;19622.5;19624.75;19621;19623.5;431
20240801 112200;19623.75;19625;19620.5;19623;295
20240801 112300;19622.75;19624;19617.5;19617.5;395
20240801 112400;19617.75;19617.75;19606.75;19607.25;730
20240801 112500;19606.75;19616.25;19606.75;19614;568
20240801 112600;19614.5;19624.75;19613.75;19623.5;563
20240801 112700;19623.75;19628;19622.5;19626.25;691
20240801 112800;19626;19629.25;19624.5;19625.5;508
20240801 112900;19626.25;19631.25;19623.25;19629.75;561
20240801 113000;19629.75;19631;19625.75;19628.25;412
20240801 113100;19628;19629;19616.5;19617.25;625
20240801 113200;19617;19622;19613;19622;729
20240801 113300;19622.5;19623.25;19616.25;19617;337
20240801 113400;19617.25;19626.75;19617.25;19625.5;438
20240801 113500;19625.5;19629;19621.25;19622.25;416
20240801 113600;19623;19628;19623;19623;307
20240801 113700;19623;19628.25;19622.5;19627.5;335
20240801 113800;19627.25;19627.75;19621;19621.25;374
20240801 113900;19621.5;19627;19620.25;19622.5;407
20240801 114000;19623.5;19624.75;19618.75;19621.25;325
20240801 114100;19622.75;19627;19621.5;19623.75;295
20240801 114200;19624.5;19625.75;19621.75;19624.5;266
20240801 114300;19624.25;19630.5;19623.75;19628.5;440
20240801 114400;19628;19632.5;19627.5;19629.5;599
20240801 114500;19629.75;19631.75;19624;19624.75;638
20240801 114600;19624.75;19627.75;19622.5;19622.75;468
20240801 114700;19623.25;19625.75;19619.25;19623.25;804
